ref,commit,committer_date,subject
main,75e51c2125f3c96bf6b96e53a659cbdabe917532,2026-07-09 15:32:57 +0300,Add configurable screening evidence modes
origin/HEAD,75e51c2125f3c96bf6b96e53a659cbdabe917532,2026-07-09 15:32:57 +0300,Add configurable screening evidence modes
origin/codex/fulltext-section-screening-audit,5ca5f15220c95d2d5c0677a8e7eedaea9dfeff21,2026-07-12 14:20:32 +0300,Add social preview metadata for atlas
origin/codex/july-2026-screening-artifacts,28b9c2d8756efd229123055eadf7479bd47dc909,2026-07-07 01:51:15 +0300,Update PRISMA search and screening log
origin/main,75e51c2125f3c96bf6b96e53a659cbdabe917532,2026-07-09 15:32:57 +0300,Add configurable screening evidence modes
origin/recovery/crabs-2026-abstract-20260729,1d40973b7180ca5cc7c13bfcd8defe7e691b10d2,2026-07-29 22:30:22 +0300,Recover migrated review artifacts and source corpus
recovery/crabs-2026-abstract-20260729,1d40973b7180ca5cc7c13bfcd8defe7e691b10d2,2026-07-29 22:30:22 +0300,Recover migrated review artifacts and source corpus
