record_id,source_record_id,study_id,title,doi,source_pdf_sha256,source_document_sha256,canonical_record_for_study,exact_duplicate,possible_version_group,primary_analysis_linkage,docling_json,markdown
update_2026-08-09__rec_000106,rec_000106,study_ab49825e939e,scMIR: a vision-language foundation model for single-cell light microscopy image representation,,cbc5eb91814eed0e3e4ec26f101a77b6f544d3bf9b4f32db58cc639b00f02b25,cbc5eb91814eed0e3e4ec26f101a77b6f544d3bf9b4f32db58cc639b00f02b25,True,False,,exact_pdf_only,data/living_catalog_updates/update_2026-08-09/11_docling_vlm/profiles/documents/update_2026_08_09_rec_000106_c9bc52778731.docling.json,data/living_catalog_updates/update_2026-08-09/11_docling_vlm/profiles/markdown/update_2026_08_09_rec_000106_c9bc52778731.md
update_2026-08-09__rec_000138,rec_000138,study_6673da673ba0,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",,f41aa6b7f12245f349f7f621bb0a0774579acd419aa8d6e21e77aaca44865e8a,f41aa6b7f12245f349f7f621bb0a0774579acd419aa8d6e21e77aaca44865e8a,True,False,,exact_pdf_only,data/living_catalog_updates/update_2026-08-09/11_docling_vlm/profiles/documents/update_2026_08_09_rec_000138_796e32b2faec.docling.json,data/living_catalog_updates/update_2026-08-09/11_docling_vlm/profiles/markdown/update_2026_08_09_rec_000138_796e32b2faec.md
