candidate_id,source_record_id,title,doi,source_pdf,profile_status,profile_kind,docling_json,markdown,figures_manifest,figure_count,picture_description_count,scientific_figure_count,non_scientific_image_count,chunks,chunks_status,picture_description_backend,picture_description_model,picture_description_area_threshold,picture_description_max_tokens,picture_description_scale
full_2026-07-06__rec_002243,rec_002243,"Human Genome Book:Words,Sentences and Paragraphs",10.1101/2025.01.23.634629,data/full_text_downloads_2026-07-07/retry_batch_030_059/full_2026-07-06__rec_002243__Human_Genome_Book_Words_Sentences_and_Paragraphs/full_text_07_crossref_title_link.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002243.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002243.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_002243/figures_manifest.json,5,5,5,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_002304,rec_002304,"Genolator: A Multimodal Large Language Model Fusing Natural Language, Genomic, and Structural Tokens for Protein Function Interpretation",10.1101/2025.11.14.688396,data/full_text_downloads_2026-07-07/browser_manual_pass/full_2026-07-06__rec_002304__genolator_a_multimodal_large_language_model_fusing_natural_langu/full_text_user_manual_biorxiv_2025.11.14.688396v1.full.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002304.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002304.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_002304/figures_manifest.json,12,12,12,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_002327,rec_002327,OmniNA: A foundation model for nucleotide sequences,10.1101/2024.01.14.575543,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_002327__OmniNA_A_foundation_model_for_nucleotide_sequences/full_text_05_openalex_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002327.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002327.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_002327/figures_manifest.json,5,5,5,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_002517,rec_002517,ChatCell: Facilitating Single-Cell Analysis with Natural Language,10.48550/arXiv.2402.08303,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_002517__ChatCell_Facilitating_Single-Cell_Analysis_with_Natural_Language/full_text_pass3_01_web_arxiv_v2_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_002517.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_002517.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_002517/figures_manifest.json,10,10,8,2,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003008,rec_003008,Aligning LLMs with Biomedical Knowledge using Balanced Fine-Tuning,,data/full_text_downloads_2026-07-07/retry_batch_060_089/full_2026-07-06__rec_003008__Aligning_LLMs_with_Biomedical_Knowledge_using_Balanced_Fine-Tuning/full_text_01_openalex_title_pdf_url.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003008.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003008.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003008/figures_manifest.json,9,9,9,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003043,rec_003043,Geneverse: A collection of Open-source Multimodal Large Language Models for Genomic and Proteomic Research,,data/full_text_downloads_2026-07-07/retry_batch_060_089/full_2026-07-06__rec_003043__Geneverse_A_collection_of_Open-source_Multimodal_Large_Language_Models/full_text_02_landing_pdf_link.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003043.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003043.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003043/figures_manifest.json,11,11,8,3,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003131,rec_003131,Gp-gpt: Large language model for gene-phenotype mapping,,data/full_text_downloads_2026-07-07/retry2_batch_050_074/full_2026-07-06__rec_003131__Gp-gpt_Large_language_model_for_gene-phenotype_mapping/full_text_02_semantic_scholar_title_arxiv_p.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003131.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003131.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003131/figures_manifest.json,9,9,9,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003188,rec_003188,Multimodal Cell Context Instruction Tuning for Conditional DNA Regulatory Sequence Generation with Large Language Models,,data/full_text_downloads_2026-07-07/retry_batch_060_089/full_2026-07-06__rec_003188__Multimodal_Cell_Context_Instruction_Tuning_for_Conditional_DNA_Regulat/full_text_07_europepmc_title_Europe_PMC.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003188.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003188.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003188/figures_manifest.json,4,4,3,1,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003206,rec_003206,Cell2Sentence: teaching large language models the language of biology,,data/full_text_downloads_2026-07-07/retry4_batch_020_039/full_2026-07-06__rec_003206__Cell2Sentence_teaching_large_language_models_the_language_of_biology/full_text_01_openalex_title_content_pdf.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003206.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003206.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003206/figures_manifest.json,15,15,15,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
full_2026-07-06__rec_003214,rec_003214,Biomedgpt: Open multimodal generative pre-trained transformer for biomedicine,,data/full_text_downloads_2026-07-07/retry2_batch_050_074/full_2026-07-06__rec_003214__Biomedgpt_Open_multimodal_generative_pre-trained_transformer_for_biome/full_text_01_semantic_scholar_title_openAcc.pdf,complete,native_docling_vlm_full_conversion,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_003214.docling.json,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_003214.md,data/docling_include_vlm_52_2026-07-10_nolimits/figures/full_2026_07_06_rec_003214/figures_manifest.json,4,4,4,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,openai-api,gpt-5.5,0,,2
