candidate_id,source_run,record_id,decision,status,doi,title,folder,attempt_count
july_update_2026-07-06__rec_000050,july_update_2026-07-06,rec_000050,,pdf_downloaded,,How Post-Training Shapes Biological Reasoning Models,data/source_pdf_recovery_52_2026-07-29/shard_6/july_update_2026-07-06__rec_000050__How_Post-Training_Shapes_Biological_Reasoning_Models,6
july_update_2026-07-06__rec_000060,july_update_2026-07-06,rec_000060,,no_full_text_found,10.64898/2026.06.16.732397,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,data/source_pdf_recovery_52_2026-07-29/shard_6/july_update_2026-07-06__rec_000060__CellTosg2Sequence_A_Unified_Text-Omics-Signaling-Graph_Large_Language_,19
june_update_2026-06-10__rec_000121,june_update_2026-06-10,rec_000121,,no_full_text_found,10.64898/2026.04.20.719773,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Discrete Tokenization and Verifiable Reinforcement Learning,data/source_pdf_recovery_52_2026-07-29/shard_6/june_update_2026-06-10__rec_000121__RVQ-Alpha_Bridging_Single-Cell_Transcriptomics_and_Large_Language_Mode,16
june_update_2026-06-10__rec_000133,june_update_2026-06-10,rec_000133,,no_full_text_found,10.64898/2026.04.22.720063,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,data/source_pdf_recovery_52_2026-07-29/shard_6/june_update_2026-06-10__rec_000133__GenNA_Conditional_generation_of_nucleotide_sequences_guided_by_natural,16
june_update_2026-06-10__rec_000148,june_update_2026-06-10,rec_000148,,no_full_text_found,10.64898/2026.05.30.728937,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",data/source_pdf_recovery_52_2026-07-29/shard_6/june_update_2026-06-10__rec_000148__SciCore-Omics_a_tri-modal_foundation_model_unifying_histology_spatial_,19
june_update_2026-06-10__rec_000152,june_update_2026-06-10,rec_000152,,no_full_text_found,10.64898/2026.04.21.717342,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling,data/source_pdf_recovery_52_2026-07-29/shard_6/june_update_2026-06-10__rec_000152__H2O_A_Foundation_Model_Bridging_Histopathology_to_Spatial_Multi-Omics_,16
june_update_2026-06-10__rec_000194,june_update_2026-06-10,rec_000194,,no_full_text_found,10.64898/2026.05.12.724740,Bio-BLIP: A Multimodal Architecture for Transferable Reasoning in Genomic Variant Interpretation,data/source_pdf_recovery_52_2026-07-29/shard_6/june_update_2026-06-10__rec_000194__Bio-BLIP_A_Multimodal_Architecture_for_Transferable_Reasoning_in_Genom,18
