candidate_id,source_run,record_id,decision,status,doi,title,folder,attempt_count
update_2026-08-09__rec_000106,update_2026-08-09,update_2026-08-09__rec_000106,INCLUDE,pdf_downloaded,,scMIR: a vision-language foundation model for single-cell light microscopy image representation,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000106__scMIR_a_vision-language_foundation_model_for_single-cell_light_microsc,16
update_2026-08-09__rec_000131,update_2026-08-09,update_2026-08-09__rec_000131,INCLUDE,html_full_text_downloaded,,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR.,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000131__CellDuality_Unlocking_Biological_Reasoning_in_LLMs_with_Self-Supervise,20
