record_id,old_model_id,current_model_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_model_name,current_model_name,name_similarity
full_2026-07-06__rec_001773,model_0ed3db93beca,,old_only_unmapped,0,,,,1,0,Omni-DNA (1B),,
full_2026-07-06__rec_001773,model_7fe355535858,,old_only_unmapped,0,,,,1,0,Omni-DNA@ft,,
full_2026-07-06__rec_001773,model_8aba876c5b86,,old_only_unmapped,0,,,,1,0,Omni-DNA@mult,,
full_2026-07-06__rec_001773,model_b0cb65c04697,model_b4d1be45d2bb,route_supported_mapping,1,0.779355,1,2,1,6,Omni-DNA@sgl.,Omni-DNA,0.8
full_2026-07-06__rec_001773,model_b4d1be45d2bb,model_b4d1be45d2bb,stable_id,1,0.757057,1,2,1,6,Omni-DNA,Omni-DNA,1.0
full_2026-07-06__rec_001830,model_1bf0ccb8259f,model_1bf0ccb8259f,stable_id,6,0.778634,1,1,12,6,OpticalDNA,OpticalDNA,1.0
full_2026-07-06__rec_001838,model_285e25ae2bfb,model_285e25ae2bfb,stable_id,0,,1,2,3,2,Cell2Text,Cell2Text,1.0
full_2026-07-06__rec_001889,model_5fd880eafa1a,model_5fd880eafa1a,stable_id,3,0.786588,1,1,7,13,scMOBA,scMOBA,1.0
full_2026-07-06__rec_002049,model_9be63ad52f90,model_9be63ad52f90,stable_id,7,0.734608,1,1,9,9,BIOVERSE,BIOVERSE,1.0
full_2026-07-06__rec_002105,model_16a912645955,model_16a912645955,stable_id,1,0.712763,1,1,4,4,Mistral 7B,Mistral 7B,1.0
full_2026-07-06__rec_002105,model_1fb19463c978,model_1fb19463c978,stable_id,0,,1,1,2,1,GPT-4,GPT-4,1.0
full_2026-07-06__rec_002105,model_6f4559a29d84,,old_only_unmapped,0,,,,1,0,CellWhisperer,,
full_2026-07-06__rec_002105,model_7edc725404f8,model_7edc725404f8,stable_id,2,0.767875,1,1,3,2,Mixtral 8x7b,Mixtral 8x7b,1.0
full_2026-07-06__rec_002243,model_3841ec0733e7,model_3841ec0733e7,stable_id,2,0.81431,1,1,2,2,gene_eng_gpt2_para_seg,gene_eng_gpt2_para_seg,1.0
full_2026-07-06__rec_002243,model_58435d2084b0,model_58435d2084b0,stable_id,2,0.896688,1,1,2,4,gene_eng_gpt2_summary,gene_eng_gpt2_summary,1.0
full_2026-07-06__rec_002243,model_5e9bb9e443dc,model_5e9bb9e443dc,stable_id,2,0.912248,1,1,3,4,gpt2-gene-eng-ft,gpt2-gene-eng-ft,1.0
full_2026-07-06__rec_002243,model_d2833fcd27aa,model_d2833fcd27aa,stable_id,3,0.787002,1,1,3,3,gpt2-gene-eng,gpt2-gene-eng,1.0
full_2026-07-06__rec_002304,model_0e34c1fd11f6,model_0e34c1fd11f6,stable_id,1,0.699017,1,1,4,4,Genolator,Genolator,1.0
full_2026-07-06__rec_002327,model_6a8360ebb187,model_74758c50e662,route_supported_mapping,2,0.766117,1,2,2,6,OmniNA-1.7B,OmniNA,0.705882
full_2026-07-06__rec_002327,model_74758c50e662,model_74758c50e662,stable_id,3,0.783175,1,2,3,6,OmniNA,OmniNA,1.0
full_2026-07-06__rec_002517,model_4df2c8d8a5ea,,old_only_unmapped,0,,,,1,0,GPT-3.5turbo,,
full_2026-07-06__rec_002517,model_68562cc69016,model_68562cc69016,stable_id,5,0.782035,1,1,7,6,CHATCELL,CHATCELL,1.0
full_2026-07-06__rec_003008,,model_7ed6448bcdeb,current_only_unmapped,0,,,,0,1,,DeepSeek,
full_2026-07-06__rec_003008,,model_c7150172725e,current_only_unmapped,0,,,,0,1,,DeepSeek-R1-Distill (1.5B),
full_2026-07-06__rec_003008,model_0b491a7a5d54,model_0b491a7a5d54,stable_id,0,,1,1,3,2,DeepSeek-R1-Distill 70B,DeepSeek-R1-Distill 70B,1.0
full_2026-07-06__rec_003008,model_1e8b4b1e30d0,,old_only_unmapped,0,,,,1,0,70B Llama,,
full_2026-07-06__rec_003008,model_2a4d836a5fda,,old_only_unmapped,0,,,,1,0,SFT-aligned 70B model,,
full_2026-07-06__rec_003008,model_79316b1849f4,,old_only_unmapped,0,,,,2,0,BFT 70B,,
full_2026-07-06__rec_003008,model_8530576f8c25,,old_only_unmapped,0,,,,1,0,GPT-5.1,,
full_2026-07-06__rec_003008,model_8553f59d67fa,model_8553f59d67fa,stable_id,0,,1,1,1,1,GPT-OSS-120B,GPT-OSS-120B,1.0
full_2026-07-06__rec_003008,model_8918f9ac4507,,old_only_unmapped,0,,,,1,0,OpenAI TEXT-EMBEDDING-ADA-002,,
full_2026-07-06__rec_003008,model_dd49fde9619e,model_3d02d9393c92,route_supported_mapping,2,0.731515,1,1,2,7,DeepSeek-R1-Distill series,"DeepSeek-R1-Distill series (14B, 32B, and 70B)",0.764706
full_2026-07-06__rec_003043,,model_fa94e391fe47,current_only_unmapped,0,,,,0,1,,Geneverse,
full_2026-07-06__rec_003043,model_1e19aae9600e,model_4b363c370943,route_supported_mapping,1,0.769373,1,1,1,1,LLaMA2-13B (LoRA),LLaMA2-13B,0.8
full_2026-07-06__rec_003043,model_3ffa8a885e54,model_af471cc4e529,route_supported_mapping,1,0.771436,1,1,1,1,LLaMAPro-8B (LoRA),LLaMAPro-8B,0.814815
full_2026-07-06__rec_003043,model_474be0bd1901,,old_only_unmapped,0,,,,1,0,LLaMA3-8B (RAG),,
full_2026-07-06__rec_003043,model_93a7ffd17991,model_78760ba29751,route_supported_mapping,1,0.766967,1,1,1,1,LLaMA3-8B (LoRA),LLaMA3-8B,0.782609
full_2026-07-06__rec_003043,model_a28a12d8b817,model_c443713ee155,route_supported_mapping,1,0.766967,1,1,1,1,LLaMA2-7B (full),LLaMA2-7B,0.782609
full_2026-07-06__rec_003043,model_a379b593891e,,old_only_unmapped,0,,,,1,0,LLaMA2-7B (RAG),,
full_2026-07-06__rec_003043,model_bb7d0dfa0c17,,old_only_unmapped,0,,,,1,0,LLaMAPro-8B (RAG),,
