"source","target","label"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_6319641f59b72bed","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_d5f1d15475e18152","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_496c7140b600239b","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_b95815fc94c1b568","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_14262e9979af08b1","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_8c645b503c624b24","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_0225b8801ff43cc1","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_72b9ed3921d38a59","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_293bb3ffce87fc01","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_94b088909dfbcb99","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_98b78b2b49759f8f","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_f1cd917e49187315","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_44635cdb140d24ca","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_a0fd5a40b53ff922","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_7e88c8227c40d17e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_a0c1cd9c9bbfdd25","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_7cb4884d3ce7360e","TaxonomyCodedRoute_b05ca3de7f9f8db0","HAS_CODED_INPUT_ROUTE"
