candidate_id,source_run,record_id,decision,status,doi,title,folder,attempt_count
full_2026-07-06__rec_000060,full_2026-07-06,rec_000060,,no_full_text_found,10.64898/2025.12.11.693669,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_,21
full_2026-07-06__rec_000063,full_2026-07-06,rec_000063,,non_pdf_full_text_downloaded,10.1101/2025.11.24.690325,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar,21
full_2026-07-06__rec_000086,full_2026-07-06,rec_000086,,non_pdf_full_text_downloaded,10.1101/2024.12.10.627665,ProCyon: A multimodal foundation model for protein phenotypes.,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes.,18
full_2026-07-06__rec_000090,full_2026-07-06,rec_000090,,non_pdf_full_text_downloaded,10.1101/2025.04.14.648850,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis,22
full_2026-07-06__rec_000771,full_2026-07-06,rec_000771,,pdf_downloaded,10.1038/s42256-025-01047-1,"A multimodal conversational agent for DNA, RNA and protein tasks",data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000771__A_multimodal_conversational_agent_for_DNA_RNA_and_protein_tasks,14
full_2026-07-06__rec_000827,full_2026-07-06,rec_000827,,pdf_downloaded,10.1038/s41587-025-02857-9,Multimodal learning enables chat-based exploration of single-cell data,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000827__Multimodal_learning_enables_chat-based_exploration_of_single-cell_data,13
full_2026-07-06__rec_000950,full_2026-07-06,rec_000950,,pdf_downloaded,10.1038/s41586-023-06728-8,Illuminating protein space with a programmable generative model,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000950__Illuminating_protein_space_with_a_programmable_generative_model,14
