candidate_id,source_run,record_id,decision,status,doi,title,folder,attempt_count
june_update_2026-06-10__rec_000133,june_update_2026-06-10,rec_000133,,no_full_text_found,10.64898/2026.04.22.720063,GenNA: Conditional generation of nucleotide sequences guided by natural-language annotations,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000133__GenNA_Conditional_generation_of_nucleotide_sequences_guided_by_natural,17
june_update_2026-06-10__rec_000148,june_update_2026-06-10,rec_000148,,pdf_downloaded,10.64898/2026.05.30.728937,"SciCore-Omics: a tri-modal foundation model unifying histology, spatial transcriptomics and language for spatial biology",data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000148__SciCore-Omics_a_tri-modal_foundation_model_unifying_histology_spatial_,15
june_update_2026-06-10__rec_000152,june_update_2026-06-10,rec_000152,,no_full_text_found,10.64898/2026.04.21.717342,H2O: A Foundation Model Bridging Histopathology to Spatial Multi-Omics Profiling,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000152__H2O_A_Foundation_Model_Bridging_Histopathology_to_Spatial_Multi-Omics_,17
june_update_2026-06-10__rec_000194,june_update_2026-06-10,rec_000194,,no_full_text_found,10.64898/2026.05.12.724740,Bio-BLIP: A Multimodal Architecture for Transferable Reasoning in Genomic Variant Interpretation,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000194__Bio-BLIP_A_Multimodal_Architecture_for_Transferable_Reasoning_in_Genom,19
june_update_2026-06-10__rec_000248,june_update_2026-06-10,rec_000248,,no_full_text_found,,Cell2Text: Multimodal LLM for generating textual descriptions from single-cell RNA-Seq profiles,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000248__Cell2Text_Multimodal_LLM_for_generating_textual_descriptions_from_sing,9
june_update_2026-06-10__rec_000350,june_update_2026-06-10,rec_000350,,no_full_text_found,10.64898/2026.05.12.724542,OmniGene-4: a unified bio-language MoE model with router-level interpretability,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_3/june_update_2026-06-10__rec_000350__OmniGene-4_a_unified_bio-language_MoE_model_with_router-level_interpre,17
