"source","target","label"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_0c249919b092358e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_98055cac67afe227","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_2b50ed147f8b8f02","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_d85d0e372e51aeb4","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_7e72985fe309bb75","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_25332ccffd1c8184","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_a3c70fc11f34cc5b","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_12d9b0da51bacf86","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_554e3c889c8a1bf3","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_318cca05b0ecf7fb","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_3db259d0d785b5ba","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_6f0ec09c5e7689f0","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_88ef7c3f6d00accb","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_32f68b6fee8be025","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_a07dfce3bd3f998a","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_4936006e1e846339","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_14a30469b475e46f","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_50d46868da788587","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_f55707a1f0f7bb16","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_79f6ab9f9736bbfe","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_fabb8c1cbf877b27","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_e120ff66e3903332","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_a1c13f2240a2abb0","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_32a237340a84746b","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_bb35bd421014e8b1","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_e50f8c8966715863","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_212c982e1a011a51","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_dd0e1d9de71e1fd3","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_5cdd5f5b76eb6c7d","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_f7d02d62724824f2","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_2e73045800d7f122","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_73db4ef7a518bf1e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_09438d456dba69a6","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_3b09c585372ba255","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_ad1eda5a1f9032b5","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_a3aac2b611ad941b","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_6573dea113cd728e","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_f58ee42a57448c44","HAS_CODED_INPUT_ROUTE"
"TaxonomyCodedDocument_935f67277c5fa1ea","TaxonomyCodedRoute_508f2d4f1e218499","HAS_CODED_INPUT_ROUTE"
