record_id,candidate_id,title,doi,final_code,uncertainty_reason,final_docling_status,selected_attempt_status,source_kind,source_file,docling_json,markdown,chunks,chunk_count,figure_count,figures_manifest,manifest,output_root,attempt_count,notes
rec_003141,full_2026-07-06__rec_003141,Bidirectional mamba for single-cell data: Efficient context learning with biological fidelity,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/batch_150_199/full_2026-07-06__rec_003141__Bidirectional_mamba_for_single-cell_data_Efficient_context_learning_wi/full_text_user_manual_bidirectional_mamba_single_cell.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003141.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003141.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003141.jsonl,114,12,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003141/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003156,full_2026-07-06__rec_003156,Generative pretraining from large-scale transcriptomes for single-cell deciphering,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_060_089/full_2026-07-06__rec_003156__Generative_pretraining_from_large-scale_transcriptomes_for_single-cell/full_text_08_europepmc_title_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003156.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003156.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003156.jsonl,106,48,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003156/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003185,full_2026-07-06__rec_003185,Enhancing generative perturbation models with llm-informed gene embeddings,,none,foundation_model_evidence_unclear,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/manual_downloads/rec_003185_enhancing_generative_perturbation_models_with_llm_informed_gene_embeddings.pdf,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/documents/rec_003185_enhancing_generative_perturbation_models_with_llm_informed_gene_embed.docling.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/markdown/rec_003185_enhancing_generative_perturbation_models_with_llm_informed_gene_embed.md,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/chunks/rec_003185_enhancing_generative_perturbation_models_with_llm_informed_gene_embed.jsonl,47,4,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/figures/rec_003185_enhancing_generative_perturbation_models_with_llm_informed_gene_embed/figures_manifest.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08,1,
rec_003191,full_2026-07-06__rec_003191,Engineering Cells Using Artificial Intelligence,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_060_089/full_2026-07-06__rec_003191__Engineering_Cells_Using_Artificial_Intelligence/full_text_01_doi_landing_pdf.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003191.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003191.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003191.jsonl,33,13,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003191/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003208,full_2026-07-06__rec_003208,Multi-Scale AI-Assisted Gene Expression Decoding,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/manual_downloads/rec_003208_multi_scale_ai_assisted_gene_expression_decoding.pdf,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/documents/rec_003208_multi_scale_ai_assisted_gene_expression_decoding.docling.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/markdown/rec_003208_multi_scale_ai_assisted_gene_expression_decoding.md,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/chunks/rec_003208_multi_scale_ai_assisted_gene_expression_decoding.jsonl,41,0,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/figures/rec_003208_multi_scale_ai_assisted_gene_expression_decoding/figures_manifest.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_manual_downloads_no_vlm_2026-07-08,1,
rec_003217,full_2026-07-06__rec_003217,Biomedical data and AI,,none,text_component_unclear,docling_ok,ok,html,data/full_text_missing_uncertain_retry_2026-07-08/standard_retry/run__rec_003217__Biomedical_data_and_AI/full_text_01_crossref_title_link.html,data/docling_uncertain_html_no_vlm_2026-07-08/documents/html_rec_003217.docling.json,data/docling_uncertain_html_no_vlm_2026-07-08/markdown/html_rec_003217.md,data/docling_uncertain_html_no_vlm_2026-07-08/chunks/html_rec_003217.jsonl,70,,,data/docling_uncertain_html_no_vlm_2026-07-08/manifests/docling_html_manifest.json,data/docling_uncertain_html_no_vlm_2026-07-08,1,
rec_003220,full_2026-07-06__rec_003220,Foundation model for comprehensive transcriptional regulation analysis,,none,generative_status_unclear,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003220__Foundation_model_for_comprehensive_transcriptional_regulation_analysis/full_text_11_europepmc_title_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003220.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003220.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003220.jsonl,25,4,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003220/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003227,full_2026-07-06__rec_003227,CELLama: cell embedding leveraging language model abilities for analyzing cell types and spatial relationship in tumor,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/chrome_download_remaining/rec_003227_biorxiv_2024.05.08.593094v1.full.pdf,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/documents/rec_003227_biorxiv_2024_05_08_593094v1_full.docling.json,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/markdown/rec_003227_biorxiv_2024_05_08_593094v1_full.md,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/chunks/rec_003227_biorxiv_2024_05_08_593094v1_full.jsonl,64,6,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/figures/rec_003227_biorxiv_2024_05_08_593094v1_full/figures_manifest.json,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08,1,
rec_003249,full_2026-07-06__rec_003249,Machine learning approaches enable the discovery of therapeutics across domains,,none,mixed_signals,docling_ok,ok,pdf,data/full_text_downloads_2026-07-07/retry_batch_090_119/full_2026-07-06__rec_003249__Machine_learning_approaches_enable_the_discovery_of_therapeutics_acros/full_text_09_europepmc_title_Europe_PMC.pdf,data/docling_uncertain_no_vlm_2026-07-08/documents/full_2026_07_06_rec_003249.docling.json,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003249.md,data/docling_uncertain_no_vlm_2026-07-08/chunks/full_2026_07_06_rec_003249.jsonl,92,5,data/docling_uncertain_no_vlm_2026-07-08/figures/full_2026_07_06_rec_003249/figures_manifest.json,data/docling_uncertain_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_no_vlm_2026-07-08,1,
rec_003258,full_2026-07-06__rec_003258,Foundation model for biomedical graphs: Integrating knowledge graphs and protein structures to large language models,,none,paper_type_unclear,docling_ok,ok,pdf,data/full_text_problem_retry_2026-07-08/web_found_pdfs/rec_003258/rec_003258_acl.pdf,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/documents/rec_003258_acl.docling.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/markdown/rec_003258_acl.md,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/chunks/rec_003258_acl.jsonl,62,2,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/figures/rec_003258_acl/figures_manifest.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08/manifests/docling_smoke_manifest.json,data/docling_uncertain_problem_retry_no_vlm_2026-07-08,1,
